frame.number,frame.time_relative,ip.src,ip.dst,udp.length,udp.srcport,udp.dstport,dns.flags.response,dns.flags.rcode,dns.qry.name,dns.qry.name.len,dns.count.labels,dns.qry.type,dns.qry.class,dns.count.queries,dns.count.answers,dns.count.auth_rr,dns.count.add_rr,dns.resp.name,dns.resp.len,dns.resp.ttl
682,145.249608000,172.16.249.68,59.37.116.141,103,53,56424,1,0,ba8Lb8C4ffDKPkQqrACtA7b51gJ9J.dns2tcp.leaflove.cn,49,4,16,0x00000001,1,1,0,0,ba8Lb8C4ffDKPkQqrACtA7b51gJ9J.dns2tcp.leaflove.cn,16,30
683,146.080028000,175.155.120.140,172.16.249.68,98,48317,53,0,,ba8Lb8C4ffDKPkQkOReLZ2gINd-mg.dns2tcp.leaflove.cn,49,4,16,0x00000001,1,0,0,1,<Root>,12,
684,146.080413000,172.16.249.68,175.155.120.140,103,53,48317,1,0,ba8Lb8C4ffDKPkQkOReLZ2gINd-mg.dns2tcp.leaflove.cn,49,4,16,0x00000001,1,1,0,0,ba8Lb8C4ffDKPkQkOReLZ2gINd-mg.dns2tcp.leaflove.cn,16,30
685,146.797398000,175.155.120.141,172.16.249.68,98,5986,53,0,,ba8Lb8C4ffDKPkQnDqc241m5T0GJ3.dns2tcp.leaflove.cn,49,4,16,0x00000001,1,0,0,1,<Root>,12,
686,146.797737000,172.16.249.68,175.155.120.141,103,53,5986,1,0,ba8Lb8C4ffDKPkQnDqc241m5T0GJ3.dns2tcp.leaflove.cn,49,4,16,0x00000001,1,1,0,0,ba8Lb8C4ffDKPkQnDqc241m5T0GJ3.dns2tcp.leaflove.cn,16,30
687,147.555868000,175.155.120.140,172.16.249.68,98,49384,53,0,,ba8Lb8C4ffDKPkQeQB-TO1fTvDpmT.dns2tcp.leaflove.cn,49,4,16,0x00000001,1,0,0,1,<Root>,12,
688,147.556233000,172.16.249.68,175.155.120.140,103,53,49384,1,0,ba8Lb8C4ffDKPkQeQB-TO1fTvDpmT.dns2tcp.leaflove.cn,49,4,16,0x00000001,1,1,0,0,ba8Lb8C4ffDKPkQeQB-TO1fTvDpmT.dns2tcp.leaflove.cn,16,30
689,148.327134000,175.155.120.140,172.16.249.68,98,18895,53,0,,ba8Lb8C4ffDKPkQkkYhROdjqP7kT8.dns2tcp.leaflove.cn,49,4,16,0x00000001,1,0,0,1,<Root>,12,
690,148.327492000,172.16.249.68,175.155.120.140,103,53,18895,1,0,ba8Lb8C4ffDKPkQkkYhROdjqP7kT8.dns2tcp.leaflove.cn,49,4,16,0x00000001,1,1,0,0,ba8Lb8C4ffDKPkQkkYhROdjqP7kT8.dns2tcp.leaflove.cn,16,30
691,149.139207000,175.155.120.140,172.16.249.68,98,32024,53,0,,ba8Lb8C4ffDKPkQfJ9AKY6q1DYckc.dns2tcp.leaflove.cn,49,4,16,0x00000001,1,0,0,1,<Root>,12,
692,149.139561000,172.16.249.68,175.155.120.140,103,53,32024,1,0,ba8Lb8C4ffDKPkQfJ9AKY6q1DYckc.dns2tcp.leaflove.cn,49,4,16,0x00000001,1,1,0,0,ba8Lb8C4ffDKPkQfJ9AKY6q1DYckc.dns2tcp.leaflove.cn,16,30
693,149.804035000,175.155.120.141,172.16.249.68,98,8947,53,0,,ba8Lb8C4ffDKPkQbCCo8npi4Xlrng.dns2tcp.leaflove.cn,49,4,16,0x00000001,1,0,0,1,<Root>,12,
694,149.804436000,172.16.249.68,175.155.120.141,103,53,8947,1,0,ba8Lb8C4ffDKPkQbCCo8npi4Xlrng.dns2tcp.leaflove.cn,49,4,16,0x00000001,1,1,0,0,ba8Lb8C4ffDKPkQbCCo8npi4Xlrng.dns2tcp.leaflove.cn,16,30
695,150.590023000,175.155.120.140,172.16.249.68,98,40094,53,0,,ba8Lb8C4ffDKPkQqOaukgzfqFZWeZ.dns2tcp.leaflove.cn,49,4,16,0x00000001,1,0,0,1,<Root>,12,
696,150.590380000,172.16.249.68,175.155.120.140,103,53,40094,1,0,ba8Lb8C4ffDKPkQqOaukgzfqFZWeZ.dns2tcp.leaflove.cn,49,4,16,0x00000001,1,1,0,0,ba8Lb8C4ffDKPkQqOaukgzfqFZWeZ.dns2tcp.leaflove.cn,16,30
697,150.831761000,59.37.116.141,172.16.249.68,141,55160,53,0,,bc3Wf3xQffDRm9aakP1uX0faKAd1qikO6GPwdgtt22JmOjKVtygwZBmplbFziNs.NfyNpPM4.dns2tcp.leaflove.cn,92,5,16,0x00000001,1,0,0,1,<Root>,12,
