frame.number,frame.time_relative,ip.src,ip.dst,udp.length,udp.srcport,udp.dstport,dns.flags.response,dns.flags.rcode,dns.qry.name,dns.qry.name.len,dns.count.labels,dns.qry.type,dns.qry.class,dns.count.queries,dns.count.answers,dns.count.auth_rr,dns.count.add_rr,dns.resp.name,dns.resp.len,dns.resp.ttl
84,6.892922000,8.129.131.148,192.168.1.168,88,53,57345,1,0,dnUvVkNOR0hZOFlIZVFTNWpUZWtvbFErek9VM0RIajRkZVpNWnA1TXBsMk.com,62,2,1,0x00000001,1,0,0,0,,,
85,6.893469000,192.168.1.168,8.129.131.148,88,57346,53,0,,NtemRPcG9pQU5zNjBsSFVkWUw4b05uM3JXY0dXUlV0TUQ4WHgwUU0yNHd0.com,62,2,1,0x00000001,1,0,0,0,,,
86,6.933575000,8.129.131.148,192.168.1.168,88,53,57346,1,0,NtemRPcG9pQU5zNjBsSFVkWUw4b05uM3JXY0dXUlV0TUQ4WHgwUU0yNHd0.com,62,2,1,0x00000001,1,0,0,0,,,
87,6.934016000,192.168.1.168,8.129.131.148,88,57347,53,0,,aG5VTFMrTi81UTQ3U2JGc3V3MGtaa21ld3hpbThPb3pQbmM1ZGs2aEwwYT.com,62,2,1,0x00000001,1,0,0,0,,,
88,6.976021000,8.129.131.148,192.168.1.168,88,53,57347,1,0,aG5VTFMrTi81UTQ3U2JGc3V3MGtaa21ld3hpbThPb3pQbmM1ZGs2aEwwYT.com,62,2,1,0x00000001,1,0,0,0,,,
89,6.976567000,192.168.1.168,8.129.131.148,88,57348,53,0,,h5d0tUdGhBSEhEbHRXZVFXRW9MSk50N09FMGgvMlJ4d0dLY2Q5bXhYeHBF.com,62,2,1,0x00000001,1,0,0,0,,,
90,7.013264000,8.129.131.148,192.168.1.168,88,53,57348,1,0,h5d0tUdGhBSEhEbHRXZVFXRW9MSk50N09FMGgvMlJ4d0dLY2Q5bXhYeHBF.com,62,2,1,0x00000001,1,0,0,0,,,
91,7.013707000,192.168.1.168,8.129.131.148,88,57349,53,0,,YUtoZE1ScTNQTXptSGE5VGtNL2laK3paTWF0V21oUU5xVjd6M2M4UklYT1.com,62,2,1,0x00000001,1,0,0,0,,,
92,7.053520000,8.129.131.148,192.168.1.168,88,53,57349,1,0,YUtoZE1ScTNQTXptSGE5VGtNL2laK3paTWF0V21oUU5xVjd6M2M4UklYT1.com,62,2,1,0x00000001,1,0,0,0,,,
93,7.054060000,192.168.1.168,8.129.131.148,88,57350,53,0,,RXdzRiNmNJbUU1SzV1SlRRKytFYkJSbUt5cGRUOUJncFFxaTVEQ1R1SzM5.com,62,2,1,0x00000001,1,0,0,0,,,
